"","LotFrontage","YearBuilt","LotArea","MoSold","YrSold","SalePrice","TotalBsmtSF","1stFlrSF","Neighborhood","School"
"739",75,2003,9375,8,2008,250000,1053,1053,"Somerst","High"
"740",85,2005,10625,7,2008,250000,1026,1026,"Somerst","High"
"741",84,2007,10207,8,2007,227875,874,874,"Somerst","High"
"742",85,2005,10574,5,2009,252000,1082,1082,"Somerst","High"
"743",85,2007,10800,4,2008,339750,1034,1050,"Somerst","High"
"744",84,2006,10728,8,2006,266000,1095,1095,"Somerst","High"
"745",84,2005,10440,5,2010,271500,1468,1468,"Somerst","High"
"746",65,2005,8125,3,2006,186500,756,756,"Somerst","High"
"747",65,2005,8125,2,2006,200825,858,858,"Somerst","High"
"748",65,2006,8125,10,2009,241000,1092,1112,"Somerst","High"
"749",65,2006,8125,8,2006,197000,770,778,"Somerst","High"
"750",65,2007,8125,5,2008,205950,813,822,"Somerst","High"
"751",65,2008,8125,10,2009,264500,1836,1836,"Somerst","High"
"752",84,2007,10440,5,2007,261329,1574,1584,"Somerst","High"
"753",100,2006,11824,4,2007,253000,1685,1685,"Somerst","High"
"754",85,2007,10625,6,2008,256000,1660,1660,"Somerst","High"
"755",85,2004,10625,6,2007,265000,1158,1158,"Somerst","High"
"756",85,2006,10625,3,2009,291000,1652,1662,"Somerst","High"
"757",102,2004,11143,12,2007,340000,1580,1580,"Somerst","High"
"758",75,2003,9375,11,2009,263000,912,912,"Somerst","High"
"759",62,2004,7500,10,2009,185000,1221,1221,"Somerst","High"
"760",60,2006,7200,5,2006,185000,1262,1262,"Somerst","High"
"761",62,2005,7500,4,2006,176000,1257,1266,"Somerst","High"
"762",60,2006,7200,8,2006,187750,1293,1301,"Somerst","High"
"763",62,2007,7500,4,2008,230348,1218,1218,"Somerst","High"
"764",68,2003,8736,8,2009,234500,1553,1553,"Somerst","High"
"765",65,2003,8127,3,2009,209000,812,812,"Somerst","High"
"766",64,2003,8791,5,2008,207500,864,864,"Somerst","High"
"767",80,2007,9605,4,2009,159000,1218,1218,"SawyerW","Sawyer"
"768",63,2006,7500,6,2007,146000,1100,1100,"SawyerW","Sawyer"
"769",63,2006,7500,6,2009,152000,1141,1141,"SawyerW","Sawyer"
"770",63,2006,7500,10,2007,147000,1143,1143,"SawyerW","Sawyer"
"771",63,2004,7500,8,2009,143500,1158,1158,"SawyerW","Sawyer"
"772",63,2004,7500,4,2008,141000,1080,1080,"SawyerW","Sawyer"
"773",74,2005,7733,1,2006,139500,1142,1142,"SawyerW","Sawyer"
"774",91,2005,11024,10,2006,186800,1400,1400,"SawyerW","Sawyer"
"775",76,2004,10142,1,2010,233000,956,956,"SawyerW","Sawyer"
"776",96,2004,10628,1,2009,193000,835,871,"SawyerW","Sawyer"
"777",76,2004,10141,1,2009,203000,1512,1512,"SawyerW","Sawyer"
"778",70,2004,11920,4,2010,181000,831,831,"SawyerW","Sawyer"
"779",67,2003,10083,8,2009,184900,1176,1200,"SawyerW","Sawyer"
"780",68,2003,10110,7,2008,188000,835,835,"SawyerW","Sawyer"
"781",67,2003,12774,7,2008,192500,835,835,"SawyerW","Sawyer"
"782",63,2004,13072,5,2009,159000,1114,1114,"SawyerW","Sawyer"
"783",63,2005,13072,6,2008,146000,1175,1175,"SawyerW","Sawyer"
"784",63,2005,13072,3,2006,132000,1131,1131,"SawyerW","Sawyer"
"785",63,2005,13072,3,2006,142500,1141,1141,"SawyerW","Sawyer"
"786",63,2004,13072,8,2009,142000,1114,1114,"SawyerW","Sawyer"
"787",63,2004,13072,5,2006,158000,1158,1158,"SawyerW","Sawyer"
"788",66,2004,13695,6,2008,159000,1114,1114,"SawyerW","Sawyer"
"789",66,2003,13695,7,2008,155000,1114,1114,"SawyerW","Sawyer"
"790",60,2003,12450,6,2009,153000,1114,1114,"SawyerW","Sawyer"
"791",60,2003,12450,5,2007,149000,1094,1094,"SawyerW","Sawyer"
"792",65,2004,8366,12,2008,173000,798,798,"SawyerW","Sawyer"
"793",65,2005,7800,4,2006,184000,891,891,"SawyerW","Sawyer"
"794",74,2005,7632,3,2006,184900,784,831,"SawyerW","Sawyer"
"795",65,2006,7441,6,2007,181000,1461,1486,"SawyerW","Sawyer"
"796",81,2007,9260,3,2008,170000,1162,1162,"SawyerW","Sawyer"
"797",61,2008,7328,2,2009,224243,1450,1450,"SawyerW","Sawyer"
"798",70,1997,8304,7,2006,187000,941,941,"SawyerW","Sawyer"
"799",43,1996,11492,4,2009,220000,913,913,"SawyerW","Sawyer"
"800",NA,1994,8880,5,2010,205000,948,1222,"SawyerW","Sawyer"
"801",70,1994,8462,7,2007,201000,928,936,"SawyerW","Sawyer"
"802",88,2005,10994,9,2009,257000,1844,1844,"SawyerW","Sawyer"
"803",65,1995,8453,4,2008,182000,754,754,"SawyerW","Sawyer"
"804",50,1993,8480,10,2008,163000,886,886,"SawyerW","Sawyer"
"805",65,1994,8125,10,2008,193500,1408,1679,"SawyerW","Sawyer"
"806",43,1994,14565,11,2008,189000,832,832,"SawyerW","Sawyer"
"807",NA,1993,11613,5,2007,191750,864,920,"SawyerW","Sawyer"
"808",65,2001,8529,4,2009,189000,1454,1434,"SawyerW","Sawyer"
"809",65,2001,8450,9,2008,190500,827,827,"SawyerW","Sawyer"
"810",65,2000,8450,12,2007,179000,1349,1349,"SawyerW","Sawyer"
"811",NA,1998,16196,8,2007,215000,1482,1494,"SawyerW","Sawyer"
"812",75,1992,8285,5,2008,175000,836,844,"SawyerW","Sawyer"
"813",65,1992,7153,7,2006,175900,761,810,"SawyerW","Sawyer"
"814",NA,1991,7153,6,2008,179200,1278,1294,"SawyerW","Sawyer"
"815",70,1992,7703,11,2009,171500,816,833,"SawyerW","Sawyer"
"816",76,1993,9291,6,2008,187000,832,832,"SawyerW","Sawyer"
"817",50,1993,8012,7,2008,193000,1604,1617,"SawyerW","Sawyer"
"818",50,1992,8012,7,2007,179200,1575,1575,"SawyerW","Sawyer"
"819",50,1980,8012,5,2010,143000,923,923,"SawyerW","Sawyer"
"820",50,1980,8012,7,2007,128000,630,630,"SawyerW","Sawyer"
"821",70,1992,11218,5,2010,189000,1055,1055,"SawyerW","Sawyer"
"822",70,1992,9370,10,2006,248500,836,844,"SawyerW","Sawyer"
"823",75,1980,10762,4,2009,120000,626,626,"SawyerW","Sawyer"
"824",55,1979,7892,4,2010,99500,918,918,"SawyerW","Sawyer"
"825",50,1984,7175,2,2010,125000,744,752,"SawyerW","Sawyer"
"826",50,1990,7175,2,2009,145000,1332,1332,"SawyerW","Sawyer"
"827",50,1990,7175,7,2006,172000,1398,1398,"SawyerW","Sawyer"
"828",50,1991,7175,6,2006,151000,1217,1217,"SawyerW","Sawyer"
"829",55,1993,7892,3,2008,153900,1199,1199,"SawyerW","Sawyer"
"830",NA,1993,9453,2,2010,194500,996,1014,"SawyerW","Sawyer"
"831",NA,1994,9019,7,2006,150000,636,636,"SawyerW","Sawyer"
"832",70,1994,9109,10,2009,184000,754,754,"SawyerW","Sawyer"
"833",81,1984,9672,5,2010,152000,1040,1097,"SawyerW","Sawyer"
"834",70,1980,8400,4,2010,171000,650,888,"SawyerW","Sawyer"
"835",NA,1986,10274,7,2009,162000,676,698,"SawyerW","Sawyer"
"836",NA,1983,9180,12,2007,144000,840,884,"SawyerW","Sawyer"
"837",75,1981,8250,5,2009,160000,0,964,"SawyerW","Sawyer"
"838",60,1950,8400,9,2009,82000,721,841,"SawyerW","Sawyer"
"839",60,1977,8400,10,2007,144000,0,2020,"SawyerW","Sawyer"
"840",70,1920,9800,4,2010,67500,816,1012,"SawyerW","Sawyer"
"841",NA,1966,8900,11,2006,107000,1056,1056,"SawyerW","Sawyer"
"842",60,1928,9000,10,2009,76000,784,784,"SawyerW","Sawyer"
"843",60,1965,7800,7,2006,119900,828,965,"SawyerW","Sawyer"
"844",70,1963,9100,8,2008,128000,984,984,"Sawyer","Sawyer"
"845",70,1962,9100,7,2006,129500,988,988,"Sawyer","Sawyer"
"846",70,1963,9100,11,2006,125000,1728,1728,"Sawyer","Sawyer"
"847",68,1978,8930,4,2010,112000,0,1318,"Sawyer","Sawyer"
"848",68,1977,8927,8,2006,119500,0,1286,"Sawyer","Sawyer"
"849",63,1962,9750,11,2009,110000,980,980,"Sawyer","Sawyer"
"850",NA,1962,9240,3,2006,144000,864,1211,"Sawyer","Sawyer"
"851",NA,1962,12968,9,2008,144000,912,912,"Sawyer","Sawyer"
"852",64,1977,6285,3,2007,120750,894,894,"Sawyer","Sawyer"
"853",71,1977,7064,7,2009,135000,980,980,"Sawyer","Sawyer"
"854",88,1977,8471,7,2006,151000,506,1212,"Sawyer","Sawyer"
"855",80,1963,8480,7,2007,132500,970,970,"Sawyer","Sawyer"
"856",70,1962,7420,4,2007,132000,1057,1057,"Sawyer","Sawyer"
"857",NA,1962,7758,3,2007,132500,999,999,"Sawyer","Sawyer"
"858",88,1961,11782,6,2010,148000,1109,1155,"Sawyer","Sawyer"
"859",75,1961,8100,7,2008,135000,864,864,"Sawyer","Sawyer"
"860",NA,1961,8499,6,2009,141000,864,864,"Sawyer","Sawyer"
"861",NA,1961,9079,7,2009,122000,864,864,"Sawyer","Sawyer"
"862",85,1961,6970,5,2007,129000,1040,1120,"Sawyer","Sawyer"
"863",NA,1965,9316,5,2009,124100,1024,1020,"Sawyer","Sawyer"
"864",NA,1965,9308,7,2006,126000,984,984,"Sawyer","Sawyer"
"865",40,1962,13673,3,2007,143900,1140,1696,"Sawyer","Sawyer"
"866",NA,1963,7791,10,2009,129000,912,912,"Sawyer","Sawyer"
"867",65,1965,8450,4,2010,138500,894,894,"Sawyer","Sawyer"
"868",65,1968,8450,4,2008,115000,890,890,"Sawyer","Sawyer"
"869",65,1968,8450,11,2006,116000,882,909,"Sawyer","Sawyer"
"870",NA,1963,8638,10,2006,133500,925,925,"Sawyer","Sawyer"
"871",60,1963,6360,1,2008,119916,864,864,"Sawyer","Sawyer"
"872",84,1968,7476,6,2007,145000,1040,1040,"Sawyer","Sawyer"
"873",NA,1967,9819,2,2010,122000,882,900,"Sawyer","Sawyer"
"874",75,1963,7500,6,2010,133000,1040,1040,"Sawyer","Sawyer"
"875",80,1961,10000,3,2009,131400,864,1144,"Sawyer","Sawyer"
"876",NA,1961,9945,10,2007,128500,988,988,"Sawyer","Sawyer"
"877",NA,1965,13052,1,2006,120875,1024,1024,"Sawyer","Sawyer"
"878",NA,1965,13526,11,2006,137000,935,935,"Sawyer","Sawyer"
"879",NA,1962,6897,4,2010,127000,1040,1040,"Sawyer","Sawyer"
"880",60,1965,8281,12,2009,62383,864,864,"Sawyer","Sawyer"
"881",NA,1964,8020,4,2006,124000,912,912,"Sawyer","Sawyer"
"882",65,1961,6993,6,2006,135000,912,1236,"Sawyer","Sawyer"
"883",65,1962,7150,10,2009,123000,912,912,"Sawyer","Sawyer"
"884",65,1961,6768,5,2008,142000,912,912,"Sawyer","Sawyer"
"885",NA,1967,8789,6,2006,129200,912,941,"Sawyer","Sawyer"
"886",NA,1967,6173,8,2007,125500,876,902,"Sawyer","Sawyer"
"887",100,1974,14330,1,2006,260000,1748,2151,"Veenker","Sawyer"
"888",NA,1990,19522,2,2007,300000,1223,1271,"Veenker","Sawyer"
"889",95,1974,19508,7,2008,192000,1430,1430,"Veenker","Sawyer"
"890",NA,1974,17542,7,2007,294000,1192,1516,"Veenker","Sawyer"
"891",NA,1980,15676,4,2009,275000,2014,2014,"Veenker","Sawyer"
"892",70,1972,10759,7,2008,140000,1001,1001,"Sawyer","Sawyer"
"893",44,1974,10751,8,2007,129000,1037,1037,"Sawyer","Sawyer"
"894",39,1974,15410,4,2010,169000,1208,1494,"Sawyer","Sawyer"
"895",NA,1975,16647,1,2007,171000,1390,1701,"Sawyer","Sawyer"
"896",43,1973,12712,1,2007,147000,1044,1055,"Sawyer","Sawyer"
"897",121,1991,16059,4,2006,260000,1288,1301,"NoRidge","High"
"898",NA,1990,9572,6,2007,302000,1453,1453,"NoRidge","High"
"899",NA,1990,9205,6,2008,290000,930,1364,"NoRidge","High"
"900",105,1992,11025,10,2006,334000,1334,1520,"NoRidge","High"
"901",105,1993,11025,6,2008,372500,1848,1827,"NoRidge","High"
"902",NA,1993,14541,11,2006,310000,1338,1352,"NoRidge","High"
"903",NA,1992,13346,7,2006,268000,1095,1166,"NoRidge","High"
"904",89,1994,12461,7,2006,262000,1624,1624,"NoRidge","High"
"905",107,1992,10186,6,2010,190000,750,1061,"NoRidge","High"
"906",85,1993,13143,6,2010,362500,1231,1251,"NoRidge","High"
"907",88,1992,11134,6,2010,285000,1390,1402,"NoRidge","High"
"908",85,1992,10678,4,2007,285000,1683,2129,"NoRidge","High"
"909",NA,1991,11949,7,2009,235000,975,975,"NoRidge","High"
"910",25,2004,4835,3,2010,260000,1488,1488,"Somerst","High"
"911",45,2004,4379,7,2007,214000,1378,1378,"Somerst","High"
"912",32,2004,2880,7,2009,280750,1376,1376,"Somerst","High"
"913",34,2004,3628,5,2006,176400,1143,1143,"Somerst","High"
"914",59,2004,4282,7,2008,196000,1391,1391,"Somerst","High"
"915",80,2006,3523,2,2007,166000,1141,1151,"Somerst","High"
"916",32,2006,3784,2,2007,193800,1511,1565,"Somerst","High"
"917",47,2006,4230,4,2007,208900,1352,1352,"Somerst","High"
"918",40,2006,3606,8,2007,194000,1352,1352,"Somerst","High"
"919",30,2006,5330,7,2007,207500,1550,1550,"Somerst","High"
"920",35,2006,4274,11,2007,199900,1241,1241,"Somerst","High"
"921",37,2005,3316,4,2006,197000,1247,1247,"Somerst","High"
"922",35,2006,4251,6,2007,164700,625,625,"Somerst","High"
"923",35,2006,4017,3,2008,171900,625,625,"Somerst","High"
"924",39,2004,3515,1,2010,190000,840,840,"Somerst","High"
"925",37,2004,3435,6,2008,178000,1235,1245,"Somerst","High"
"926",40,2009,3951,6,2009,164500,612,612,"Somerst","High"
"927",30,2009,3000,6,2009,173733,612,612,"Somerst","High"
"928",30,2004,3215,4,2010,155000,600,600,"Somerst","High"
"929",30,2004,3182,6,2010,151000,600,600,"Somerst","High"
"930",24,2004,2544,2,2010,149500,600,600,"Somerst","High"
"931",30,2005,3180,5,2008,165000,600,600,"Somerst","High"
"932",24,2005,2544,5,2010,152000,600,600,"Somerst","High"
"933",30,2005,3180,6,2006,151000,600,520,"Somerst","High"
"934",24,2005,2544,7,2006,147400,600,520,"Somerst","High"
"935",24,2005,2544,7,2006,149900,600,520,"Somerst","High"
"936",30,2005,3180,4,2006,144152,600,520,"Somerst","High"
"937",30,2007,3180,3,2008,146000,689,703,"Somerst","High"
"938",34,2007,3604,2,2008,146000,689,703,"Somerst","High"
"939",NA,2008,3830,1,2009,222000,1726,1726,"Somerst","High"
"940",NA,2008,4217,3,2009,195000,1145,1256,"Somerst","High"
"941",NA,2009,4403,6,2010,222000,1470,1478,"Somerst","High"
"942",34,1999,3230,3,2009,172500,729,742,"Somerst","High"
"943",24,1999,2280,8,2008,179400,744,757,"Somerst","High"
"944",24,1999,2280,4,2008,172900,744,757,"Somerst","High"
"945",24,1999,2280,9,2007,176500,744,757,"Somerst","High"
"946",34,1999,3230,6,2007,176000,729,729,"Somerst","High"
"947",NA,2000,4765,7,2008,300000,1614,1638,"Somerst","High"
"948",NA,2001,4538,7,2008,285000,1310,1310,"Somerst","High"
"949",42,2001,4385,9,2008,290000,1419,1419,"Somerst","High"
"950",35,1999,4109,6,2008,305000,1557,1557,"Somerst","High"
"951",50,1999,5119,1,2008,328900,1698,1709,"Somerst","High"
"952",24,1999,2160,3,2008,160000,600,624,"Somerst","High"
"953",24,1999,2160,6,2008,170000,672,684,"Somerst","High"
"954",NA,2000,2117,6,2007,168500,756,756,"Somerst","High"
"955",34,2000,2998,8,2009,180000,756,756,"Somerst","High"
"956",24,2000,2117,9,2007,177000,756,769,"Somerst","High"
"957",NA,2000,2998,6,2006,166000,756,768,"Somerst","High"
"958",NA,2000,2117,6,2010,177500,756,769,"Somerst","High"
"959",NA,2000,2117,6,2007,177000,756,769,"Somerst","High"
"960",NA,2000,2980,5,2010,177000,756,756,"Somerst","High"
"961",35,1999,3735,3,2006,183900,691,713,"Somerst","High"
"962",24,1999,2572,5,2010,155000,696,696,"Somerst","High"
"963",35,1999,3768,9,2009,156000,691,713,"Somerst","High"
"964",NA,2004,5105,3,2007,148800,551,551,"Somerst","High"
"965",NA,2000,2651,4,2006,165000,673,673,"Somerst","High"
"966",NA,2003,2403,6,2010,147110,530,530,"Somerst","High"
"967",NA,2003,4447,7,2006,139000,530,530,"Somerst","High"
"968",79,2001,10646,6,2008,223000,858,872,"Somerst","High"
"969",24,1999,2645,11,2007,174000,776,764,"Somerst","High"
"970",24,1999,2645,8,2009,172500,970,983,"Somerst","High"
"971",24,1999,2645,12,2008,170000,960,962,"Somerst","High"
"972",24,1999,2645,12,2008,200000,960,962,"Somerst","High"
"973",36,1998,3951,2,2008,345000,970,1469,"Somerst","High"
"974",57,2010,12853,4,2010,267916,1642,1418,"Somerst","High"
"975",114,1997,8314,11,2006,200000,569,854,"Somerst","High"
"976",66,1997,7399,6,2007,239000,975,975,"Somerst","High"
"977",60,2001,7180,9,2006,221000,1568,1568,"Somerst","High"
"978",73,1999,7321,12,2007,204000,1339,1358,"Somerst","High"
"979",NA,2003,8010,8,2007,301000,1054,1072,"Somerst","High"
"980",68,2000,7379,4,2010,254000,975,975,"Somerst","High"
"981",106,1998,8413,6,2007,312500,1220,1220,"Somerst","High"
"982",38,1996,14963,12,2008,245500,1260,1288,"Veenker","High"
"983",22,1995,11064,8,2008,217500,1230,1239,"Veenker","High"
"984",30,1995,9549,4,2006,270000,1494,1494,"Veenker","High"
"985",32,1993,10846,5,2008,324000,1719,1719,"Veenker","High"
"986",50,1994,9466,5,2007,279700,1494,1494,"Veenker","High"
"987",80,1980,12000,3,2007,255000,2002,2362,"Veenker","High"
"988",NA,1984,11120,6,2008,162500,1232,1232,"Veenker","High"
"989",NA,1978,16157,6,2007,194000,1360,1432,"Veenker","High"
"990",NA,1977,11250,6,2006,165000,1208,1208,"Veenker","High"
"991",NA,1977,14694,6,2009,318750,1694,1694,"Veenker","High"
"992",90,1976,10768,7,2007,218000,1437,1437,"Veenker","High"
"993",NA,1980,3760,5,2006,214000,1235,1235,"Greens","High"
"994",36,1980,3640,9,2006,188000,1036,1036,"Greens","High"
"995",30,1980,4420,6,2010,155000,728,788,"Greens","High"
"996",61,1981,3782,9,2009,211500,1226,1226,"Greens","High"
"997",40,1980,3874,7,2006,190000,1226,1226,"Greens","High"
"998",40,1978,3876,7,2006,170000,1226,1226,"Greens","High"
"999",40,1978,3840,7,2007,213750,1057,1295,"Greens","High"
"1000",40,1978,3880,1,2010,206000,1226,1226,"Greens","High"
"1001",110,1981,15417,6,2009,241600,1740,1740,"Veenker","High"
"1002",80,1976,9600,8,2007,187000,528,1094,"Veenker","High"
"1003",80,1976,9600,1,2009,180500,392,1487,"Veenker","High"
"1004",80,1976,9600,5,2007,181500,1262,1262,"Veenker","High"
"1005",94,1981,17778,3,2007,373000,2461,2497,"Veenker","Sawyer"
"1006",68,1981,50271,11,2006,385000,1842,1842,"Veenker","Sawyer"
"1007",NA,1977,24572,6,2008,150000,994,1599,"Veenker","High"
"1008",103,1976,16280,5,2008,290000,1426,1671,"Veenker","Sawyer"
"1009",NA,1977,18890,8,2007,190000,1361,1361,"Sawyer","Sawyer"
"1010",NA,1976,9991,6,2009,150000,1281,1620,"Sawyer","Sawyer"
"1011",NA,1976,13517,3,2010,130500,725,725,"Sawyer","Sawyer"
"1012",80,2002,8000,4,2010,230000,1492,1492,"Somerst","High"
"1013",NA,2001,7050,5,2007,226000,1057,1057,"Somerst","High"
"1014",NA,2002,7500,4,2008,205000,952,952,"Somerst","High"
"1015",78,1968,11700,5,2009,154000,727,829,"NWAmes","High"
"1016",78,1968,11700,9,2007,143450,912,1152,"NWAmes","High"
"1017",79,1972,13110,7,2006,146500,1153,1193,"NWAmes","High"
"1018",102,1968,10192,9,2006,170000,570,1222,"NWAmes","High"
"1019",80,1970,10400,5,2008,174000,1304,1682,"NWAmes","High"
"1020",80,1970,8000,6,2007,240050,1008,1403,"NWAmes","High"
"1021",NA,1970,11717,2,2009,185000,1442,1442,"NWAmes","High"
"1022",NA,1969,8723,1,2007,162500,973,1082,"NWAmes","High"
"1023",NA,1968,9156,8,2009,185750,1489,1489,"NWAmes","High"
"1024",NA,1968,20781,6,2006,262500,1568,2156,"NWAmes","High"
"1025",NA,1969,11104,5,2008,183000,1427,1427,"NWAmes","Fellows"
"1026",85,1968,11050,10,2008,150000,1740,1740,"NWAmes","High"
"1027",130,1968,11700,4,2007,164000,1295,1295,"NWAmes","High"
"1028",90,1968,11700,5,2006,179900,708,708,"NWAmes","High"
"1029",NA,1973,10382,11,2009,200000,1107,1107,"NWAmes","Fellows"
"1030",NA,1974,12732,6,2009,206000,752,1285,"NWAmes","Fellows"
"1031",80,1971,11040,10,2008,145000,1258,1258,"NWAmes","Fellows"
"1032",108,1972,11358,5,2007,185000,1124,1610,"NWAmes","Fellows"
"1033",NA,1972,12936,12,2009,162000,723,735,"NWAmes","Fellows"
"1034",80,1967,10400,5,2009,256900,932,1271,"NWAmes","Fellows"
"1035",NA,1968,11029,8,2006,250000,1054,1512,"NWAmes","Fellows"
"1036",NA,1967,10456,5,2010,218500,1829,1829,"NWAmes","Fellows"
"1037",NA,1967,15387,8,2008,215000,1620,1620,"NWAmes","Fellows"
"1038",NA,1967,17871,6,2009,197900,1680,1724,"NWAmes","Fellows"
"1039",80,1972,10400,11,2006,165150,732,1012,"NWAmes","Fellows"
"1040",80,1969,9600,8,2009,163000,1288,1336,"NWAmes","Fellows"
"1041",75,1969,9000,8,2009,113000,1216,1216,"NWAmes","Fellows"
"1042",80,1993,9547,7,2007,188500,1594,1594,"NWAmes","High"
"1043",NA,1977,13774,11,2009,230000,908,1316,"NWAmes","High"
"1044",80,1993,10791,3,2010,243500,1280,1280,"NWAmes","High"
"1045",78,1993,10530,8,2007,255000,1148,1091,"NWAmes","High"
"1046",NA,1977,10603,2,2010,205000,1610,1610,"NWAmes","High"
"1047",NA,1978,18837,4,2010,212500,1224,1287,"NWAmes","High"
"1048",80,1988,10421,3,2010,196500,980,980,"NWAmes","High"
"1049",80,1977,9650,4,2009,167900,1350,1334,"NWAmes","High"
"1050",NA,1976,11500,6,2007,136905,1680,1680,"NWAmes","High"
"1051",78,1998,10140,6,2009,213250,1650,1680,"NWAmes","High"
"1052",78,1967,10140,4,2006,164500,1334,1334,"NWAmes","Fellows"
"1053",75,1965,9750,8,2008,140500,1625,1625,"NWAmes","High"
"1054",78,1972,9360,3,2010,197500,1161,1381,"NWAmes","Fellows"
"1055",88,1966,10738,11,2007,158500,1093,1093,"NWAmes","Fellows"
"1056",80,1971,9600,6,2010,171000,715,930,"NWAmes","Fellows"
"1057",80,1969,9600,7,2006,140000,1164,1164,"NWAmes","High"
"1058",90,1974,10800,6,2008,240000,1522,1548,"NWAmes","Fellows"
"1059",80,1973,9600,9,2007,175500,1242,1242,"NWAmes","Fellows"
"1060",70,2001,8400,11,2009,227000,810,810,"NWAmes","Fellows"
"1061",80,1963,10800,2,2007,127000,1052,1052,"NWAmes","Fellows"
"1062",62,1967,7130,6,2009,130000,864,864,"NAmes","Fellows"
"1063",70,1967,8050,3,2007,127000,949,1107,"NAmes","Fellows"
"1064",75,1967,9750,10,2006,135500,980,980,"NAmes","Fellows"
"1065",80,1968,9600,7,2006,142000,1051,1051,"NAmes","Fellows"
"1066",73,1968,8814,6,2008,141000,732,732,"NAmes","Fellows"
"1067",72,1968,8640,6,2006,155000,900,884,"NAmes","Fellows"
"1068",78,1968,9360,8,2006,157500,976,976,"NAmes","Fellows"
"1069",70,1968,8400,11,2006,138500,1052,1052,"NAmes","Fellows"
"1070",70,1968,8400,8,2006,140000,833,898,"NAmes","Fellows"
"1071",NA,1966,9759,3,2006,124400,1051,1051,"NAmes","Fellows"
"1072",NA,1967,10355,7,2007,143000,1214,1214,"NAmes","Fellows"
"1073",72,1965,8872,12,2008,147000,912,912,"NAmes","Fellows"
"1074",80,1966,9600,4,2010,142250,1232,1232,"NAmes","Fellows"
"1075",80,1967,9600,3,2009,143000,1568,1568,"NAmes","Fellows"
"1076",80,1967,9600,7,2006,158000,1141,1141,"NAmes","Fellows"
"1077",65,1965,8125,7,2008,135000,912,925,"NAmes","Fellows"
"1078",79,1965,10289,6,2007,156000,1073,1073,"NAmes","Fellows"
"1079",72,1965,11072,11,2008,145000,1728,1728,"NAmes","Fellows"
"1080",74,1965,13101,11,2008,142600,1728,1728,"NAmes","Fellows"
"1081",71,1965,9230,10,2006,146000,864,1200,"NAmes","Fellows"
"1082",70,1965,9100,7,2009,117500,925,925,"NAmes","Fellows"
"1083",87,1973,9246,11,2008,135000,1656,1656,"NWAmes","Fellows"
"1084",NA,1971,14803,6,2006,190000,825,1097,"NWAmes","Fellows"
"1085",NA,1971,13355,5,2008,170000,825,845,"NWAmes","Fellows"
"1086",NA,1976,8963,7,2008,299800,1142,1175,"NWAmes","Fellows"
"1087",80,1974,9600,5,2009,168500,1165,1165,"NWAmes","Fellows"
"1088",76,1974,9120,7,2008,185000,901,943,"NWAmes","Fellows"
"1089",NA,1971,16500,5,2009,172500,1232,1320,"NWAmes","Fellows"
"1090",NA,1966,9130,7,2008,173000,800,800,"NWAmes","Fellows"
"1091",NA,1963,9790,6,2010,143000,1328,1328,"NWAmes","Fellows"
"1092",NA,1958,9503,6,2007,144000,1024,1344,"NAmes","Fellows"
"1093",NA,1964,10624,11,2007,119000,1728,1728,"NAmes","Fellows"
"1094",NA,1964,10899,4,2007,103000,0,1224,"NAmes","Fellows"
"1095",NA,1961,12122,7,2008,178400,944,999,"NAmes","Fellows"
"1096",NA,1960,12342,8,2007,139900,978,1422,"NAmes","Fellows"
"1097",NA,1967,9790,9,2009,161500,1372,1342,"NWAmes","Fellows"
"1098",NA,1968,9900,4,2008,176000,832,1098,"NWAmes","Fellows"
"1099",NA,1961,10659,1,2006,136500,1050,1050,"NAmes","Fellows"
"1100",60,1960,7436,8,2009,141500,894,894,"NAmes","Fellows"
"1101",65,1959,8125,9,2009,118000,864,864,"NAmes","Fellows"
"1102",NA,1960,12772,4,2007,151500,958,958,"NAmes","Fellows"
"1103",80,1960,8892,7,2007,126500,1065,1065,"NAmes","Fellows"
"1104",70,1958,9100,7,2006,129900,864,864,"NAmes","Fellows"
"1105",70,1959,9100,10,2009,127500,864,864,"NAmes","Fellows"
"1106",65,1958,10482,6,2007,145000,588,1138,"NAmes","Fellows"
"1107",70,1958,7535,6,2007,120000,912,912,"NAmes","Fellows"
"1108",74,1956,7450,1,2007,124000,894,1074,"NAmes","Fellows"
"1109",74,1956,7785,3,2008,98000,0,1014,"NAmes","Fellows"
"1110",70,1959,8393,6,2006,145000,1626,1712,"NAmes","Fellows"
"1111",NA,1959,8339,7,2007,106500,0,882,"NAmes","Fellows"
"1112",77,1959,9320,1,2010,128950,950,1225,"NAmes","Fellows"
"1113",77,1957,8593,7,2008,109008,907,907,"NAmes","Fellows"
"1114",NA,1956,8475,4,2008,135750,952,952,"NAmes","Fellows"
"1115",NA,1957,9450,5,2009,140000,1040,1362,"NAmes","Fellows"
"1116",NA,1956,13495,7,2009,177625,1048,1728,"NAmes","Fellows"
"1117",NA,1961,14357,8,2007,140500,864,1187,"NAmes","Fellows"
"1118",76,1961,8243,2,2007,137500,964,964,"NAmes","Fellows"
"1119",70,1960,8680,1,2007,117600,894,894,"NAmes","Fellows"
"1120",85,1958,11475,7,2009,110000,1584,1776,"NAmes","Fellows"
"1121",80,1963,8700,12,2008,155000,1120,1128,"NAmes","Fellows"
"1122",100,1964,10004,2,2009,167000,1516,1516,"NAmes","Fellows"
